sensor_id,timestamp,firmware_version,temperature_celsius,vibration_hz,voltage_volts,operational_mode,error_flag,is_anomaly
SN-1032,2024-06-01 00:00:32,v3.1.0-prod,46.06,107.63,3.261,NORMAL,False,0
SN-1033,2024-06-01 00:00:33,v3.1.0-prod,46.26,101.91,3.276,NORMAL,False,1
SN-1034,2024-06-01 00:00:34,v3.1.0-prod,58.85,138.28,3.354,NORMAL,False,0
SN-1035,2024-06-01 00:00:35,v3.1.0-prod,41.97,130.77,3.332,NORMAL,False,0
SN-1036,2024-06-01 00:00:36,v3.1.0-prod,49.37,126.08,3.251,NORMAL,False,0
SN-1037,2024-06-01 00:00:37,v3.1.0-prod,42.87,111.41,3.318,NORMAL,False,0
SN-1038,2024-06-01 00:00:38,v3.1.0-prod,42.85,158.73,3.307,ECO,False,0
SN-1039,2024-06-01 00:00:39,v3.1.0-prod,35.65,92.09,3.385,NORMAL,False,0
SN-1040,2024-06-01 00:00:40,v3.1.0-prod,39.06,90.72,3.369,NORMAL,False,0
SN-1041,2024-06-01 00:00:41,v3.1.0-prod,37.57,143.55,3.223,NORMAL,False,0
SN-1042,2024-06-01 00:00:42,v3.1.0-prod,49.75,141.5,3.343,NORMAL,False,1
SN-1043,2024-06-01 00:00:43,v3.1.0-prod,53.32,128.84,3.363,NORMAL,False,0
SN-1044,2024-06-01 00:00:44,v3.1.0-prod,44.24,112.8,3.328,BOOST,False,1
SN-1045,2024-06-01 00:00:45,v3.1.0-prod,46.84,132.56,3.283,NORMAL,False,0
SN-1046,2024-06-01 00:00:46,v3.1.0-prod,43.78,163.02,3.421,NORMAL,False,0
SN-1047,2024-06-01 00:00:47,v3.1.0-prod,38.51,182.89,3.333,NORMAL,True,0
SN-1048,2024-06-01 00:00:48,v3.1.0-prod,51.9,78.59,3.399,NORMAL,False,0
SN-1049,2024-06-01 00:00:49,v3.1.0-prod,50.22,109.53,3.368,NORMAL,False,0
SN-1000,2024-06-01 00:00:00,v3.1.0-prod,59.12,72.69,3.276,NORMAL,False,0
SN-1001,2024-06-01 00:00:01,v3.1.0-prod,43.97,112.92,3.381,ECO,False,0
SN-1002,2024-06-01 00:00:02,v3.1.0-prod,40.99,97.95,3.176,ECO,False,0
SN-1003,2024-06-01 00:00:03,v3.1.0-prod,48.75,110.23,3.326,NORMAL,False,0
SN-1004,2024-06-01 00:00:04,v3.1.0-prod,49.07,103.24,3.287,NORMAL,False,0
