transaction_id,account_number,transaction_amount,merchant_category,is_international,transaction_time,terminal_city,card_present,is_fraud
TXN-100035,ACC-80035,75.19,Online Retail,0,2024-05-01 10:35:00,London,True,0
TXN-100036,ACC-80036,12.67,Online Retail,0,2024-05-01 10:53:00,,False,0
TXN-100037,ACC-80037,307.02,Grocery & Supermarket,0,2024-05-01 11:11:00,New York,True,0
TXN-100038,ACC-80038,6.53,Fuel & Gas,1,2024-05-01 11:29:00,Singapore,True,0
TXN-100039,ACC-80039,251.11,Online Retail,0,2024-05-01 11:47:00,New York,False,0
TXN-100040,ACC-80040,291.57,Online Retail,1,2024-05-01 12:05:00,New York,True,0
TXN-100041,ACC-80041,438.13,Fuel & Gas,0,2024-05-01 12:23:00,London,True,0
TXN-100042,ACC-80042,99.91,Online Retail,0,2024-05-01 12:41:00,Tokyo,True,1
TXN-100043,ACC-80043,270.41,Online Retail,0,2024-05-01 12:59:00,London,False,0
TXN-100044,ACC-80044,74.31,Online Retail,0,2024-05-01 13:17:00,Tokyo,True,0
TXN-100045,ACC-80045,21.67,Healthcare & Pharmacy,0,2024-05-01 13:35:00,Singapore,True,0
TXN-100046,ACC-80046,565.03,Airlines & Travel,0,2024-05-01 13:53:00,Tokyo,True,0
TXN-100047,ACC-80047,80.14,Fuel & Gas,0,2024-05-01 14:11:00,Tokyo,True,0
TXN-100048,ACC-80048,16.59,Online Retail,0,2024-05-01 14:29:00,Tokyo,True,0
TXN-100049,ACC-80049,51.41,Healthcare & Pharmacy,0,2024-05-01 14:47:00,London,True,0
TXN-100050,ACC-80050,53.9,Fuel & Gas,0,2024-05-01 15:05:00,Tokyo,True,0
TXN-100051,ACC-80051,156.65,Dining & Restaurants,0,2024-05-01 15:23:00,London,True,0
TXN-100052,ACC-80052,1504.86,Dining & Restaurants,0,2024-05-01 15:41:00,London,True,0
TXN-100053,ACC-80053,168.49,Online Retail,0,2024-05-01 15:59:00,London,True,0
TXN-100054,ACC-80054,115.38,Healthcare & Pharmacy,0,2024-05-01 16:17:00,Tokyo,False,0
TXN-100055,ACC-80055,1714.59,Healthcare & Pharmacy,0,2024-05-01 16:35:00,Singapore,True,0
TXN-100056,ACC-80056,291.39,Fuel & Gas,0,2024-05-01 16:53:00,London,False,0
TXN-100057,ACC-80057,122.13,Fuel & Gas,0,2024-05-01 17:11:00,Tokyo,False,0
TXN-100058,ACC-80058,50.64,Healthcare & Pharmacy,0,2024-05-01 17:29:00,New York,True,0
TXN-100059,ACC-80059,131.56,Fuel & Gas,0,2024-05-01 17:47:00,London,True,0
TXN-100060,ACC-80060,83.12,Healthcare & Pharmacy,0,2024-05-01 18:05:00,Sydney,True,0
TXN-100061,ACC-80061,100.46,Airlines & Travel,0,2024-05-01 18:23:00,New York,True,0
TXN-100062,ACC-80062,435.84,Healthcare & Pharmacy,0,2024-05-01 18:41:00,Tokyo,True,0
TXN-100063,ACC-80063,47.07,Dining & Restaurants,0,2024-05-01 18:59:00,New York,True,0
TXN-100064,ACC-80064,166.71,Fuel & Gas,1,2024-05-01 19:17:00,London,True,1
TXN-100065,ACC-80065,281.1,Healthcare & Pharmacy,0,2024-05-01 19:35:00,New York,False,0
TXN-100066,ACC-80066,40.67,Healthcare & Pharmacy,0,2024-05-01 19:53:00,Tokyo,True,0
TXN-100067,ACC-80067,33.54,Fuel & Gas,0,2024-05-01 20:11:00,Sydney,False,0
TXN-100068,ACC-80068,75.16,Airlines & Travel,0,2024-05-01 20:29:00,London,True,0
TXN-100069,ACC-80069,51.73,Airlines & Travel,0,2024-05-01 20:47:00,New York,False,0
TXN-100070,ACC-80070,358.81,Fuel & Gas,0,2024-05-01 21:05:00,New York,True,0
TXN-100071,ACC-80071,27.06,Grocery & Supermarket,0,2024-05-01 21:23:00,London,True,0
TXN-100072,ACC-80072,97.73,Fuel & Gas,1,2024-05-01 21:41:00,Tokyo,True,0
TXN-100073,ACC-80073,1910.76,Fuel & Gas,0,2024-05-01 21:59:00,Singapore,True,1
TXN-100074,ACC-80074,147.77,Airlines & Travel,0,2024-05-01 22:17:00,Singapore,True,0
TXN-100075,ACC-80075,180.39,Airlines & Travel,0,2024-05-01 22:35:00,Tokyo,False,0
TXN-100076,ACC-80076,362.43,Fuel & Gas,0,2024-05-01 22:53:00,Singapore,True,0
TXN-100077,ACC-80077,51.65,Fuel & Gas,1,2024-05-01 23:11:00,,True,0
TXN-100078,ACC-80078,24.59,Fuel & Gas,0,2024-05-01 23:29:00,Sydney,False,0
TXN-100079,ACC-80079,111.25,Airlines & Travel,1,2024-05-01 23:47:00,London,False,0
TXN-100080,ACC-80000,123.78,Fuel & Gas,0,2024-05-02 00:05:00,Singapore,True,0
TXN-100081,ACC-80001,12.91,Fuel & Gas,1,2024-05-02 00:23:00,Tokyo,True,0
TXN-100082,ACC-80002,141.19,Online Retail,0,2024-05-02 00:41:00,,True,0
TXN-100083,ACC-80003,325.0,Grocery & Supermarket,0,2024-05-02 00:59:00,Tokyo,True,0
TXN-100084,ACC-80004,30.1,Dining & Restaurants,0,2024-05-02 01:17:00,London,False,0
TXN-100085,ACC-80005,151.82,Grocery & Supermarket,0,2024-05-02 01:35:00,Singapore,False,0
TXN-100086,ACC-80006,262.62,Online Retail,0,2024-05-02 01:53:00,Tokyo,False,0
TXN-100087,ACC-80007,182.0,Dining & Restaurants,0,2024-05-02 02:11:00,,False,0
TXN-100088,ACC-80008,203.81,Fuel & Gas,0,2024-05-02 02:29:00,,True,1
TXN-100089,ACC-80009,67.1,Online Retail,1,2024-05-02 02:47:00,New York,False,0
TXN-100090,ACC-80010,23.27,Fuel & Gas,0,2024-05-02 03:05:00,London,False,1
TXN-100091,ACC-80011,52.64,Airlines & Travel,0,2024-05-02 03:23:00,New York,True,0
TXN-100092,ACC-80012,44.56,Healthcare & Pharmacy,1,2024-05-02 03:41:00,London,False,0
TXN-100093,ACC-80013,81.75,Online Retail,0,2024-05-02 03:59:00,London,True,0
TXN-100094,ACC-80014,334.26,Airlines & Travel,0,2024-05-02 04:17:00,Singapore,True,0
TXN-100095,ACC-80015,18.65,Online Retail,0,2024-05-02 04:35:00,London,False,0
TXN-100096,ACC-80016,107.03,Online Retail,1,2024-05-02 04:53:00,Tokyo,True,0
TXN-100097,ACC-80017,25.13,Airlines & Travel,0,2024-05-02 05:11:00,,True,0
TXN-100098,ACC-80018,37.04,Dining & Restaurants,0,2024-05-02 05:29:00,Tokyo,True,0
TXN-100099,ACC-80019,176.0,Grocery & Supermarket,1,2024-05-02 05:47:00,London,True,0
TXN-100100,ACC-80020,21.59,Fuel & Gas,0,2024-05-02 06:05:00,,False,0
TXN-100101,ACC-80021,217.26,Online Retail,0,2024-05-02 06:23:00,London,True,0
TXN-100102,ACC-80022,17.77,Fuel & Gas,0,2024-05-02 06:41:00,Singapore,True,0
TXN-100103,ACC-80023,200.41,Healthcare & Pharmacy,0,2024-05-02 06:59:00,,False,0
TXN-100104,ACC-80024,14.02,Airlines & Travel,0,2024-05-02 07:17:00,,True,0
TXN-100105,ACC-80025,42.89,Fuel & Gas,0,2024-05-02 07:35:00,New York,True,0
TXN-100106,ACC-80026,876.37,Airlines & Travel,0,2024-05-02 07:53:00,Tokyo,True,0
TXN-100107,ACC-80027,699.42,Fuel & Gas,1,2024-05-02 08:11:00,London,False,0
TXN-100108,ACC-80028,54.87,Grocery & Supermarket,0,2024-05-02 08:29:00,Singapore,True,0
TXN-100109,ACC-80029,143.73,Grocery & Supermarket,0,2024-05-02 08:47:00,Sydney,True,0
TXN-100110,ACC-80030,381.79,Grocery & Supermarket,0,2024-05-02 09:05:00,New York,True,0
TXN-100111,ACC-80031,203.88,Grocery & Supermarket,1,2024-05-02 09:23:00,London,True,0
TXN-100112,ACC-80032,64.83,Grocery & Supermarket,0,2024-05-02 09:41:00,London,True,0
TXN-100113,ACC-80033,36.66,Grocery & Supermarket,0,2024-05-02 09:59:00,London,True,0
TXN-100114,ACC-80034,255.12,Airlines & Travel,0,2024-05-02 10:17:00,Singapore,True,0
TXN-100115,ACC-80035,349.62,Online Retail,0,2024-05-02 10:35:00,Tokyo,False,0
TXN-100116,ACC-80036,705.45,Fuel & Gas,0,2024-05-02 10:53:00,,True,0
TXN-100117,ACC-80037,11.89,Grocery & Supermarket,0,2024-05-02 11:11:00,Singapore,False,0
TXN-100118,ACC-80038,20.01,Airlines & Travel,0,2024-05-02 11:29:00,London,False,0
TXN-100119,ACC-80039,362.97,Airlines & Travel,0,2024-05-02 11:47:00,New York,False,0
TXN-100120,ACC-80040,13.99,Airlines & Travel,0,2024-05-02 12:05:00,Tokyo,True,0
TXN-100121,ACC-80041,397.92,Online Retail,0,2024-05-02 12:23:00,New York,True,0
TXN-100122,ACC-80042,69.55,Fuel & Gas,0,2024-05-02 12:41:00,Singapore,True,0
TXN-100123,ACC-80043,48.18,Online Retail,0,2024-05-02 12:59:00,Singapore,True,0
TXN-100124,ACC-80044,115.18,Dining & Restaurants,0,2024-05-02 13:17:00,Singapore,True,0
TXN-100125,ACC-80045,17.91,Airlines & Travel,0,2024-05-02 13:35:00,London,False,0
TXN-100126,ACC-80046,241.97,Dining & Restaurants,0,2024-05-02 13:53:00,London,False,0
TXN-100127,ACC-80047,683.73,Healthcare & Pharmacy,0,2024-05-02 14:11:00,Singapore,True,0
TXN-100128,ACC-80048,255.88,Grocery & Supermarket,0,2024-05-02 14:29:00,London,True,0
TXN-100129,ACC-80049,66.97,Grocery & Supermarket,0,2024-05-02 14:47:00,Tokyo,False,0
TXN-100130,ACC-80050,14.22,Online Retail,0,2024-05-02 15:05:00,London,True,0
TXN-100131,ACC-80051,14.89,Fuel & Gas,0,2024-05-02 15:23:00,New York,True,0
TXN-100132,ACC-80052,18.25,Dining & Restaurants,0,2024-05-02 15:41:00,London,False,0
TXN-100133,ACC-80053,88.7,Fuel & Gas,0,2024-05-02 15:59:00,New York,True,0
TXN-100134,ACC-80054,103.14,Online Retail,0,2024-05-02 16:17:00,,True,0
TXN-100135,ACC-80055,255.22,Grocery & Supermarket,1,2024-05-02 16:35:00,London,True,0
TXN-100136,ACC-80056,10.43,Fuel & Gas,0,2024-05-02 16:53:00,London,False,0
TXN-100137,ACC-80057,434.18,Fuel & Gas,0,2024-05-02 17:11:00,Tokyo,True,0
TXN-100138,ACC-80058,207.12,Grocery & Supermarket,0,2024-05-02 17:29:00,Sydney,True,0
TXN-100139,ACC-80059,60.81,Dining & Restaurants,0,2024-05-02 17:47:00,London,True,0
TXN-100140,ACC-80060,21.59,Grocery & Supermarket,0,2024-05-02 18:05:00,Tokyo,True,0
TXN-100141,ACC-80061,403.01,Fuel & Gas,0,2024-05-02 18:23:00,London,True,0
TXN-100142,ACC-80062,62.8,Dining & Restaurants,0,2024-05-02 18:41:00,Singapore,False,0
TXN-100143,ACC-80063,87.88,Dining & Restaurants,0,2024-05-02 18:59:00,Tokyo,True,0
TXN-100144,ACC-80064,142.64,Grocery & Supermarket,0,2024-05-02 19:17:00,Singapore,False,0
TXN-100145,ACC-80065,30.09,Fuel & Gas,1,2024-05-02 19:35:00,,True,0
TXN-100146,ACC-80066,64.16,Online Retail,0,2024-05-02 19:53:00,London,True,0
TXN-100147,ACC-80067,254.27,Fuel & Gas,0,2024-05-02 20:11:00,Singapore,True,0
TXN-100148,ACC-80068,225.18,Airlines & Travel,0,2024-05-02 20:29:00,London,True,0
TXN-100149,ACC-80069,227.63,Healthcare & Pharmacy,1,2024-05-02 20:47:00,Sydney,True,0
TXN-100150,ACC-80070,22.51,Online Retail,1,2024-05-02 21:05:00,New York,True,0
TXN-100151,ACC-80071,67.77,Dining & Restaurants,0,2024-05-02 21:23:00,Sydney,True,0
TXN-100152,ACC-80072,55.94,Online Retail,1,2024-05-02 21:41:00,London,True,0
TXN-100153,ACC-80073,149.94,Dining & Restaurants,0,2024-05-02 21:59:00,London,True,0
TXN-100154,ACC-80074,134.66,Dining & Restaurants,0,2024-05-02 22:17:00,Tokyo,False,0
TXN-100155,ACC-80075,108.47,Online Retail,0,2024-05-02 22:35:00,Tokyo,False,0
TXN-100156,ACC-80076,1735.2,Dining & Restaurants,1,2024-05-02 22:53:00,London,True,0
TXN-100157,ACC-80077,63.5,Dining & Restaurants,0,2024-05-02 23:11:00,Tokyo,True,0
TXN-100158,ACC-80078,55.18,Airlines & Travel,1,2024-05-02 23:29:00,London,True,0
TXN-100159,ACC-80079,22.46,Fuel & Gas,1,2024-05-02 23:47:00,Tokyo,True,0
TXN-100160,ACC-80000,14.22,Fuel & Gas,0,2024-05-03 00:05:00,Singapore,True,0
TXN-100161,ACC-80001,20.81,Healthcare & Pharmacy,0,2024-05-03 00:23:00,Tokyo,False,0
TXN-100162,ACC-80002,38.0,Healthcare & Pharmacy,0,2024-05-03 00:41:00,London,True,0
TXN-100163,ACC-80003,433.58,Airlines & Travel,0,2024-05-03 00:59:00,Tokyo,True,0
TXN-100164,ACC-80004,94.35,Healthcare & Pharmacy,0,2024-05-03 01:17:00,London,False,0
TXN-100165,ACC-80005,113.52,Online Retail,0,2024-05-03 01:35:00,,True,0
TXN-100166,ACC-80006,80.2,Grocery & Supermarket,0,2024-05-03 01:53:00,London,False,0
TXN-100167,ACC-80007,139.54,Grocery & Supermarket,0,2024-05-03 02:11:00,Singapore,True,0
TXN-100168,ACC-80008,484.19,Grocery & Supermarket,0,2024-05-03 02:29:00,,True,0
TXN-100169,ACC-80009,8.23,Airlines & Travel,0,2024-05-03 02:47:00,Singapore,True,0
TXN-100170,ACC-80010,388.39,Airlines & Travel,1,2024-05-03 03:05:00,New York,True,0
TXN-100171,ACC-80011,4.4,Dining & Restaurants,0,2024-05-03 03:23:00,Singapore,False,0
TXN-100172,ACC-80012,93.12,Grocery & Supermarket,0,2024-05-03 03:41:00,,True,0
TXN-100173,ACC-80013,1249.24,Online Retail,0,2024-05-03 03:59:00,New York,False,0
TXN-100174,ACC-80014,203.73,Healthcare & Pharmacy,0,2024-05-03 04:17:00,New York,True,0
TXN-100175,ACC-80015,140.85,Online Retail,0,2024-05-03 04:35:00,New York,True,0
TXN-100176,ACC-80016,994.59,Healthcare & Pharmacy,1,2024-05-03 04:53:00,New York,True,0
TXN-100177,ACC-80017,38.72,Grocery & Supermarket,0,2024-05-03 05:11:00,New York,True,0
TXN-100178,ACC-80018,151.53,Grocery & Supermarket,0,2024-05-03 05:29:00,Tokyo,False,0
TXN-100179,ACC-80019,180.14,Grocery & Supermarket,0,2024-05-03 05:47:00,London,True,0
TXN-100180,ACC-80020,48.09,Airlines & Travel,1,2024-05-03 06:05:00,London,True,0
TXN-100181,ACC-80021,53.47,Healthcare & Pharmacy,0,2024-05-03 06:23:00,London,True,0
TXN-100182,ACC-80022,46.87,Airlines & Travel,0,2024-05-03 06:41:00,London,True,0
TXN-100183,ACC-80023,99.96,Airlines & Travel,0,2024-05-03 06:59:00,London,True,0
TXN-100184,ACC-80024,173.47,Fuel & Gas,0,2024-05-03 07:17:00,New York,True,0
TXN-100185,ACC-80025,104.36,Online Retail,0,2024-05-03 07:35:00,London,False,0
TXN-100186,ACC-80026,210.89,Online Retail,0,2024-05-03 07:53:00,Singapore,True,0
TXN-100187,ACC-80027,8.47,Dining & Restaurants,0,2024-05-03 08:11:00,London,True,0
TXN-100188,ACC-80028,69.28,Airlines & Travel,1,2024-05-03 08:29:00,London,True,0
TXN-100189,ACC-80029,26.36,Healthcare & Pharmacy,0,2024-05-03 08:47:00,Singapore,True,0
TXN-100190,ACC-80030,129.29,Fuel & Gas,0,2024-05-03 09:05:00,New York,False,0
TXN-100191,ACC-80031,127.01,Fuel & Gas,0,2024-05-03 09:23:00,London,True,0
TXN-100192,ACC-80032,78.36,Online Retail,0,2024-05-03 09:41:00,Sydney,True,0
TXN-100193,ACC-80033,166.06,Airlines & Travel,0,2024-05-03 09:59:00,Sydney,True,0
TXN-100194,ACC-80034,298.08,Dining & Restaurants,0,2024-05-03 10:17:00,Tokyo,True,0
TXN-100195,ACC-80035,83.71,Airlines & Travel,0,2024-05-03 10:35:00,Tokyo,True,0
TXN-100196,ACC-80036,25.48,Grocery & Supermarket,1,2024-05-03 10:53:00,,False,0
TXN-100197,ACC-80037,13.5,Airlines & Travel,0,2024-05-03 11:11:00,New York,False,0
TXN-100198,ACC-80038,94.0,Grocery & Supermarket,0,2024-05-03 11:29:00,New York,False,0
TXN-100199,ACC-80039,120.33,Grocery & Supermarket,1,2024-05-03 11:47:00,Singapore,True,0
